APPL_ID,ACC_DATE,Riparian,Pre1914
S026788,08/11/2017,Y,
S026799,08/11/2017,Y,
S027842,07/17/2018,Y,
S027295,09/19/2017,Y,
S026764,08/10/2017,Y,
S027857,07/17/2018,Y,Y
S000048,11/17/1966,Y,
S000077,01/01/1966,Y,
S001283,06/23/1967,Y,
S001364,01/01/1967,Y,
S001525,01/01/1967,Y,
S001553,01/01/1967,Y,
S001649,01/01/1967,Y,Y
S001901,06/30/1967,Y,
S002076,01/01/1967,Y,
S010022,01/29/1980,Y,
S010098,08/18/1980,Y,
S010248,02/09/1981,Y,
S012699,12/27/1985,Y,
S012754,09/23/1986,Y,
S012782,01/14/1986,Y,
S012791,01/14/1986,Y,
S012838,01/14/1986,Y,
S012860,10/03/1986,Y,
S002266,01/01/1967,Y,
S002448,07/03/1967,Y,
S002472,07/03/1967,Y,
S010315,04/09/1981,Y,
S010338,05/22/1981,Y,
S012907,12/19/1986,Y,
S012910,01/07/1987,Y,
S013067,04/13/1987,Y,
S013068,04/13/1987,Y,
S002567,01/01/1967,Y,
S013205,10/04/1988,Y,
S010786,03/21/1982,Y,
S013520,06/26/1990,Y,
S013530,09/19/1990,Y,Y
S003144,01/01/1967,Y,
S010970,06/11/1982,Y,
S013659,03/25/1991,Y,
S013691,03/25/1991,Y,
S000543,04/24/1967,Y,
S000630,05/01/1967,Y,
S003689,01/01/1967,Y,
S003816,01/01/1967,Y,
S011368,12/23/1983,Y,
S015439,02/11/2002,Y,
S015475,01/08/2004,Y,
S015562,10/13/2004,Y,
S015579,04/19/2004,Y,
S000720,05/19/1967,Y,
S004039,01/01/1967,Y,
S004137,01/01/1968,Y,
S004183,01/01/1968,Y,
S004194,01/01/1968,Y,
S011492,02/25/1985,Y,
S015776,07/13/2001,Y,
S015813,03/25/2005,Y,
S001092,01/01/1967,Y,
S011764,12/11/1984,Y,
S011883,12/11/1984,Y,
S004268,01/01/1966,Y,
S004474,01/01/1968,Y,
S011889,12/11/1984,Y,
S011900,12/11/1984,Y,
S011908,12/11/1984,Y,
S011957,12/11/1984,Y,
S011965,12/11/1984,Y,
S004623,01/01/1968,Y,
S012075,12/11/1984,Y,
S012165,12/11/1984,Y,
S012166,12/11/1984,Y,
S014254,11/23/1994,Y,
S014325,02/24/1995,Y,Y
S014341,03/03/1995,Y,
S005119,01/01/1970,Y,
S005136,01/01/1970,Y,
S012291,08/28/1985,Y,
S012314,01/23/1986,Y,Y
S012330,02/14/1986,Y,
S012344,02/14/1986,Y,
S012370,02/14/1986,Y,Y
S012374,02/14/1986,Y,
S012393,02/14/1986,Y,
S012400,02/14/1986,Y,
S014364,03/27/1995,Y,
S014374,04/10/1995,Y,
S014399,06/23/1995,Y,Y
S014435,07/19/1995,Y,
S014457,09/02/1995,Y,
S005291,01/01/1970,Y,
S005778,01/01/1970,Y,
S012480,03/20/1985,Y,
S014745,05/29/1997,Y,
S014800,05/12/1997,Y,
S006356,01/01/1971,Y,
S008886,01/23/1976,Y,
S014886,01/22/1998,Y,
S014892,01/22/1998,Y,
S014991,07/20/1998,Y,
S015011,10/08/1998,Y,Y
S015117,04/18/2001,Y,
S015144,04/06/2001,Y,Y
S015157,11/30/2001,Y,Y
S015160,11/30/2001,Y,
S015176,11/30/2001,Y,
S008056,01/01/1973,Y,
S009431,09/23/1977,Y,
S009463,11/17/1977,Y,
S009483,12/13/1977,Y,
S015359,03/13/2003,Y,
S015393,05/17/1999,Y,
S008210,01/01/1973,Y,Y
S008246,01/01/1973,Y,
S008358,01/01/1974,Y,Y
S012534,10/16/1985,Y,
S012544,10/16/1985,Y,
S012633,12/27/1985,Y,
S008577,01/01/1975,Y,
S008587,01/01/1975,Y,
S008597,01/01/1975,Y,
S009793,05/07/1979,Y,
S009807,05/07/1979,Y,Y
S009814,05/07/1979,Y,
S009849,05/07/1979,Y,
S024514,08/08/2014,Y,
S024505,08/04/2014,Y,
S015766,,Y,
S016934,06/08/2010,Y,Y
S017104,07/01/2010,Y,Y
S017027,07/13/2011,Y,Y
S017016,07/13/2011,Y,Y
S016380,06/01/2010,Y,Y
S016651,06/24/2010,Y,Y
S016652,06/25/2010,Y,Y
S016928,06/21/2010,Y,Y
